EmployeeID,EmployeeName,Age,Years_of_Experience,Department,Monthly_Salary,Income_Tax,PF_Contribution,Insurance_Deduction,Other_Deductions,Net_Salary,Rent_Expense,Grocery_Expense,EMI_or_Loan_Payment,Entertainment_Expense,Other_Expenses,Total_Expenditure,Savings_Amount,Investments,Class,Expense_Ratio,Savings_Ratio,Investment_Ratio,EMI_Ratio,Disposable_Income,Financial_Cushion,Debt_Burden_Index,Investment_to_Savings_Ratio,Financial_Health
EMP00016,Avantika Dubey,37,10,Product Management,147355,12804,8841,3802,1794,120114,35040,19216,0,8235,6344,68835,24065,4701,Medium,0.5730805734552176,0.2003513329004112,0.0391378190718817,0.0,51279,0.35,0.0,0.195,1
EMP00017,Rishabh Jain,23,1,Finance,72860,2286,4372,1721,1756,62725,7362,6493,7744,5978,2900,30477,14219,3626,Medium,0.485882821841371,0.2266879234754882,0.057807891590275,0.1234595456357114,32248,0.47,0.106,0.255,1
EMP00018,Aarav Das,38,8,Marketing,66738,1674,4004,2162,1824,57074,19090,8479,0,8220,5069,40858,2415,2342,Low,0.7158776325472194,0.042313487752742,0.0410344465080421,0.0,16216,0.06,0.0,0.969,0
EMP00019,Preeti Bhardwaj,57,26,Data Science,170000,17500,10200,3365,2083,136852,0,23765,34911,10166,8006,76848,28145,7837,Low,0.5615409347324116,0.2056601291906585,0.0572662438254464,0.2551004004325841,60004,0.37,0.205,0.278,0
EMP00020,Nandini Reema Khanna,40,16,Sales,68270,1827,4096,1430,1414,59503,0,9099,0,4386,2918,16403,19587,4689,Medium,0.2756667731038771,0.3291766801673865,0.0788027494412046,0.0,43100,1.19,0.0,0.239,1
EMP00021,Aarav Reddy,37,10,Sales,61985,1433,3719,1730,2003,53100,18395,10107,0,9909,5386,43797,1785,1293,Low,0.8248022598870056,0.0336158192090395,0.0243502824858757,0.0,9303,0.04,0.0,0.724,0
EMP00022,Monika Pillai,57,36,Operations,95000,4500,5700,1483,2250,81067,0,11706,22036,4202,3642,41586,17928,4755,Medium,0.5129830880629602,0.2211504064539208,0.0586551864507136,0.2718245401951472,39481,0.43,0.232,0.265,1
EMP00023,Megha Menon,26,5,Finance,79066,2907,4744,1598,1402,68415,0,9499,22241,4846,3241,39827,13211,3146,Low,0.5821384199371483,0.1931009281590294,0.0459840678213842,0.3250895271504787,28588,0.33,0.281,0.238,0
EMP00024,Arjun Rawat,36,12,HR,55687,1118,3341,1070,1184,48974,4722,7150,8163,2766,2384,25185,9494,2794,Medium,0.5142524604892392,0.1938579654510556,0.0570506799526279,0.1666802793318904,23789,0.38,0.147,0.294,1
EMP00025,Rishabh More,43,27,Operations,91636,4164,5498,1967,1618,78389,12945,6399,0,4886,1933,26163,31059,3417,High,0.3337585630636951,0.3962163058592404,0.0435902996593909,0.0,52226,1.19,0.0,0.11,2
EMP00026,Muskan Saloni Suri,38,13,IT,108265,6240,6496,2421,1547,91561,0,12748,29409,2719,4077,48953,23874,4092,Medium,0.5346490317930123,0.2607442033180066,0.044691517130656,0.3211957055951769,42608,0.49,0.272,0.171,1
EMP00027,Pankaj Mukherjee,29,6,Operations,61157,1391,3669,1863,1640,52594,0,7193,13361,5511,3725,29790,8905,3208,Low,0.5664144198958057,0.1693158915465642,0.0609955508232878,0.254040384834772,22804,0.3,0.218,0.36,0
EMP00028,Tarun Seth,49,28,Marketing,90000,4000,5400,1485,1780,77335,0,11952,20330,9604,5261,47147,4285,4135,Low,0.6096463438287968,0.0554082886144695,0.053468675244068,0.2628822654684166,30188,0.09,0.226,0.965,0
EMP00029,Rajat Mehta,39,16,IT,120425,8064,7226,3752,1971,99412,20926,10391,5733,7831,5841,50722,13758,16431,Medium,0.5102200941536233,0.1383937552810525,0.1652818573210477,0.057669094274333,48690,0.27,0.048,1.194,1
EMP00030,Sumit Iyer,36,9,Marketing,70897,2090,4254,1389,1799,61365,17442,10841,7124,3695,3831,42933,6801,1798,Medium,0.6996333414813004,0.110828648252261,0.0293000896276379,0.1160922349873706,18432,0.16,0.1,0.264,1
EMP00031,Harsh Bohra,25,2,Marketing,50451,856,3027,993,1965,43610,0,5653,0,7691,2988,16332,5303,2315,Medium,0.3745012611786287,0.1216005503324925,0.0530841550103187,0.0,27278,0.32,0.0,0.436,1
EMP00032,Karan Banerjee,41,16,Product Management,179937,19984,10796,2662,2043,144452,37800,26145,22247,12439,7333,105964,14689,5142,Low,0.7335585523218785,0.1016877578711267,0.0355965995624844,0.154009636419018,38488,0.14,0.124,0.35,0
EMP00033,Ishaan Priya Pandey,32,8,IT,102743,5411,6165,2796,1324,87047,24874,15489,0,6307,6142,52812,14165,4103,Medium,0.6067067216561168,0.1627281813273289,0.0471354555584913,0.0,34235,0.27,0.0,0.29,1
EMP00034,Sanya Mittal,31,6,IT,97444,4744,5847,1649,1524,83680,23872,11834,0,10513,5852,52071,3594,5496,Low,0.6222633843212237,0.0429493307839388,0.0656787762906309,0.0,31609,0.07,0.0,1.529,0
EMP00035,Bhavna Maheshwari,58,22,Product Management,200618,25185,12037,3163,1660,158573,35984,24367,10070,7240,8421,86082,5029,972,Medium,0.5428540798244341,0.0317141001305392,0.0061296689852623,0.0635038751868224,72491,0.06,0.05,0.193,1
EMP00036,Sumit Saini,57,23,HR,70000,2000,4200,2085,1974,59741,0,7341,11278,3551,2769,24939,1002,1489,Low,0.4174520011382467,0.0167724008637284,0.0249242563733449,0.1887815737935421,34802,0.04,0.161,1.485,0
EMP00037,Shruti Sahu,53,25,IT,145034,12340,8702,3328,1724,118940,26797,20452,18038,7703,5689,78679,19132,5241,Medium,0.6615015974440894,0.1608542122078358,0.0440642340675971,0.1516562972927526,40261,0.24,0.124,0.274,1
EMP00038,Aisha Chopra,46,18,Customer Support,52213,944,3133,874,1884,45378,0,8308,9314,3054,2325,23001,9684,2594,Medium,0.5068755784741504,0.2134073780245934,0.0571642646216228,0.2052536471417867,22377,0.42,0.178,0.268,1
EMP00039,Rupal Solanki,51,32,Operations,95000,4500,5700,1244,1784,81772,0,14325,21701,3380,6704,46110,3118,716,Low,0.563884948393093,0.038130411387761,0.0087560534168174,0.2653842391038497,35662,0.07,0.228,0.23,0
EMP00040,Siddharth Kapoor,31,11,Operations,72848,2285,4371,1838,1321,63033,0,8162,19483,2840,1297,31782,16053,3239,Medium,0.5042120793869878,0.2546761220313169,0.0513857820506718,0.3090920628876937,31251,0.51,0.267,0.202,1
EMP00041,Tushar Kulkarni,40,11,Marketing,67924,1792,4075,1654,897,59506,0,8460,0,3886,3700,16046,16319,4285,High,0.2696534803213121,0.2742412529828925,0.0720095452559405,0.0,43460,1.02,0.0,0.263,2
EMP00042,Yash Rathore,37,15,Customer Support,47861,726,2872,1041,1431,41791,0,6622,10537,1114,2989,21262,409,387,Low,0.5087698308248187,0.0097867962001387,0.0092603670646789,0.252135627288172,20529,0.02,0.22,0.944,0
EMP00043,Khushi Bedi,52,25,Data Science,170000,17500,10200,2244,1864,138192,0,26690,0,11344,10149,48183,41977,8310,High,0.3486670718999652,0.3037585388445062,0.0601337269885376,0.0,90009,0.87,0.0,0.198,2
EMP00044,Divya Lakhotia,34,9,Marketing,60723,1369,3643,2125,1573,52013,0,6571,13036,2699,3443,25749,2302,438,Low,0.4950493145944283,0.0442581662276738,0.0084209716801568,0.2506296502797377,26264,0.09,0.215,0.19,0
EMP00045,Mayank Thomas,54,30,Operations,95000,4500,5700,2023,1051,81726,23807,15259,0,5207,5441,49714,11271,4224,Medium,0.6083009079118028,0.1379120475735996,0.0516848983187724,0.0,32012,0.23,0.0,0.375,1
EMP00046,Swati Prateek Sandhu,38,17,Finance,109169,6375,6550,3349,1009,91886,0,11797,17121,4720,2222,35860,30644,5172,Medium,0.3902661994210217,0.333500206777964,0.0562871384106392,0.1863287116644537,56026,0.85,0.157,0.169,1
EMP00047,Monika Wadhwa,46,22,Finance,120394,8059,7224,2516,1467,101128,0,16203,25848,5518,4919,52488,24181,4567,Medium,0.519025393560636,0.2391128075310497,0.0451605885610315,0.2555968673364449,48640,0.46,0.215,0.189,1
EMP00048,Karan Vivek Shetty,25,3,Cyber Security,107973,6196,6478,2243,1293,91763,8148,10120,0,7531,5207,31006,19339,21504,High,0.3378921787648616,0.2107494305983893,0.2343428179113586,0.0,60757,0.62,0.0,1.112,2
EMP00049,Megha Saini,39,10,Product Management,146165,12566,8770,2469,1277,121083,0,13091,23103,18584,8345,63123,10957,6825,Medium,0.5213200862218478,0.0904916462261423,0.0563662941948911,0.1908030028988379,57960,0.17,0.158,0.623,1
EMP00050,Arjun Joshi,55,31,HR,70000,2000,4200,1902,1814,60084,12976,6876,0,4924,3832,28608,13522,3508,Medium,0.4761334132214899,0.2250515944344584,0.0583849277677917,0.0,31476,0.47,0.0,0.259,1
EMP00051,Rupal Nair,60,35,IT,150000,13333,9000,3676,2033,121958,0,18926,30800,4827,6642,61195,927,2761,Low,0.5017711015267551,0.0076009773856573,0.0226389412748651,0.2525459584447104,60763,0.02,0.205,2.975,0
EMP00052,Jyoti Sandhu,27,5,IT,94825,4482,5690,2179,1849,80625,18019,13743,8769,2577,2027,45135,21347,2340,Medium,0.559813953488372,0.264768992248062,0.0290232558139534,0.1087627906976744,35490,0.47,0.092,0.11,1
EMP00053,Pankaj Banerjee,52,29,Operations,95000,4500,5700,1431,2380,80989,4198,14758,0,10112,5599,34667,9515,4818,Medium,0.4280457839953574,0.1174850905678548,0.0594895603106594,0.0,46322,0.27,0.0,0.506,1
EMP00054,Jyoti Bohra,31,11,IT,104456,5668,6267,2640,1935,87946,29676,9597,8420,16654,8071,72418,2187,2217,Low,0.8234371091351511,0.0248675323493962,0.0252086507629681,0.0957405680758647,15528,0.03,0.081,1.013,0
EMP00055,Vivek Tushar D'Souza,53,36,HR,70000,2000,4200,1894,2231,59675,0,4888,12884,3294,1684,22750,20886,2418,Medium,0.3812316715542522,0.3499958106409719,0.0405194805194805,0.2159028068705488,36925,0.92,0.184,0.116,1
EMP00056,Tanvi Banerjee,46,23,Marketing,89418,3942,5365,1606,1955,76550,0,12662,0,2528,3466,18656,121,938,Medium,0.2437099934683213,0.0015806662312214,0.0122534291312867,0.0,57894,0.01,0.0,7.689,1
EMP00057,Akash Rajput,51,33,IT,150000,13333,9000,3010,1898,122759,31739,18622,0,7629,8664,66654,25069,5114,Medium,0.5429662998232309,0.204213133049308,0.0416588600428481,0.0,56105,0.38,0.0,0.204,1
EMP00058,Rashmi Kapoor,33,7,Marketing,64636,1565,3878,1675,2460,55058,14559,9872,0,3083,2378,29892,10477,2648,Medium,0.5429183769842711,0.1902902393839224,0.0480947364597333,0.0,25166,0.35,0.0,0.253,1
EMP00059,Tanvi Kapoor,39,17,IT,119377,7907,7163,2955,1328,100024,0,15834,34230,7354,4202,61620,18678,4087,Medium,0.6160521474846037,0.1867351835559465,0.0408601935535471,0.3422178677117491,38404,0.3,0.287,0.219,1
EMP00060,Priya Reddy,54,26,Customer Support,60000,1333,3600,1286,1026,52755,12332,8210,2661,1598,3387,28188,1939,732,Medium,0.5343190218936593,0.0367548099706189,0.0138754620415126,0.0504407165197611,24567,0.07,0.044,0.377,1
EMP00061,Bhavna Rawat,26,4,IT,94392,4439,5664,2187,1822,80280,0,12839,7458,5504,3286,29087,22209,6213,Medium,0.3623193821624315,0.276644245142003,0.0773916292974589,0.0928998505231689,51193,0.76,0.079,0.28,1
EMP00062,Yuvraj D'Souza,55,24,Sales,80730,3073,4844,2173,1878,68762,17629,10573,0,4759,3680,36641,14432,4204,Medium,0.5328669904889328,0.2098833658125127,0.0611384194758733,0.0,32121,0.39,0.0,0.291,1
EMP00063,Ankit Shukla,30,6,Finance,83812,3381,5029,1938,1687,71777,17985,11104,7459,5060,3927,45535,8807,7651,Medium,0.6343954191454086,0.1226994719757025,0.1065940343006812,0.1039190827145185,26242,0.19,0.089,0.869,1
EMP00064,Nikita Bhardwaj,50,22,Marketing,85016,3502,5101,2036,1284,73093,20868,12761,2499,4354,4249,44731,12111,3788,Medium,0.6119737868195313,0.1656930212195422,0.0518243881083003,0.0341893204547631,28362,0.27,0.029,0.313,1
EMP00065,Pankaj Agarwal,27,3,Operations,54889,1078,3293,820,1605,48093,12044,5309,7234,4724,3257,32568,7201,1639,Low,0.6771879483500718,0.1497307300438733,0.0340798037136381,0.1504169005884432,15525,0.22,0.132,0.228,0
EMP00066,Siddharth Roy,23,2,Data Science,97512,4751,5851,1313,1630,83967,0,8738,6319,7815,2711,25583,16190,18919,High,0.3046792192170733,0.1928138435337692,0.2253147069682137,0.0752557552371765,58384,0.63,0.065,1.168,2
EMP00067,Aditi Bedi,31,9,HR,52818,974,3169,1042,1649,45984,0,8185,2460,3486,3505,17636,11000,2630,Medium,0.3835247042449548,0.2392136395267919,0.0571938065414057,0.0534968684759916,28348,0.62,0.047,0.239,1
EMP00068,Ashish Megha Chopra,28,6,Marketing,61493,1408,3690,1379,2242,52774,14291,8450,18373,1184,4307,46605,318,289,Low,0.8831053170121651,0.0060256944707621,0.0054761814529882,0.3481449198468943,6169,0.01,0.299,0.906,0
EMP00069,Reema Mundra,56,37,Data Science,170000,17500,10200,3973,1663,136664,39222,22280,0,9299,7872,78673,28337,5988,Medium,0.5756673300942458,0.2073479482526488,0.0438154890827138,0.0,57991,0.36,0.0,0.211,1
EMP00070,Vidhi Shukla,27,5,Sales,49707,819,2982,867,1716,43323,9717,6386,0,2504,1844,20451,6768,8991,High,0.4720587216951735,0.1562218682916695,0.2075341042864067,0.0,22872,0.33,0.0,1.328,2
EMP00071,Lakshay Gill,25,0,Marketing,50000,833,3000,1187,1585,43395,0,4026,6097,2972,2047,15142,16229,2721,Medium,0.3489342090102546,0.3739831777854591,0.0627030763912893,0.1405000576103237,28253,1.07,0.122,0.168,1
EMP00072,Gaurav Varun Nair,47,20,Sales,77163,2716,4630,2135,1483,66199,0,11354,0,3790,2983,18127,17359,5137,Medium,0.2738258886085892,0.2622245049018867,0.0775993595069411,0.0,48072,0.96,0.0,0.296,1
EMP00073,Sumit Bagri,50,16,Operations,76813,2681,4609,1497,1531,66495,0,11289,14241,3813,4485,33828,11562,4335,Medium,0.5087299796977216,0.1738777351680577,0.0651928716444845,0.2141664786826077,32667,0.34,0.185,0.375,1
EMP00074,Rahul Jain,57,26,Sales,85000,3500,5100,1690,1917,72793,0,8834,17366,5715,5331,37246,2274,303,Low,0.5116700781668567,0.031239267511986,0.0041624881513332,0.2385668951684914,35547,0.06,0.204,0.133,0
EMP00075,Krishna Iyer,30,5,Sales,50288,848,3017,865,1901,43657,2783,6327,2674,1537,912,14233,18484,2288,Medium,0.3260187369723068,0.4233914377992074,0.052408548457292,0.0612502004260485,29424,1.3,0.053,0.124,1
EMP00076,Diya Singh,60,32,Operations,95000,4500,5700,2171,1765,80864,0,13291,18538,4048,4930,40807,3223,1262,Low,0.5046374159081916,0.0398570439256034,0.0156064503363672,0.2292491096161456,40057,0.08,0.195,0.391,0
EMP00077,Krishna Pandey,41,22,IT,133458,10025,8007,2896,1623,110907,0,14611,29673,2492,2929,49705,32101,5674,Medium,0.4481682851398018,0.2894407025706222,0.0511599808848855,0.2675484865698287,61202,0.65,0.222,0.177,1
EMP00078,Gaurav Pandey,46,28,Sales,85000,3500,5100,1520,1798,73082,4115,11375,7606,4930,3028,31054,16484,5358,Medium,0.4249199529295859,0.2255548561889384,0.0733149065433348,0.1040748747981719,42028,0.53,0.089,0.325,1
EMP00079,Akash Saurabh Pawar,52,31,Sales,85000,3500,5100,1574,932,73894,0,10826,16815,12107,5895,45643,3329,4922,Low,0.6176820851489973,0.0450510190272552,0.0666089262998348,0.2275556878772295,28251,0.07,0.198,1.478,0
EMP00080,Reema Yadav,43,23,Customer Support,59149,1291,3549,720,922,52667,0,8605,17819,2916,2536,31876,9199,2716,Medium,0.6052366757172423,0.1746634514971424,0.0515692938652287,0.338333301687964,20791,0.29,0.301,0.295,1
EMP00081,Aisha Mukherjee,59,32,Sales,85000,3500,5100,2035,1474,72891,0,13051,13451,2644,6076,35222,2949,1347,Low,0.4832146629899438,0.0404576696711528,0.0184796476931308,0.1845358137492969,37669,0.08,0.158,0.457,0
EMP00082,Shruti Bhatia,59,37,IT,150000,13333,9000,3882,1136,122649,0,16575,26328,4249,4647,51799,42108,6750,Medium,0.4223352819835465,0.3433211848445564,0.0550351001638823,0.2146613506836582,70850,0.81,0.176,0.16,1
EMP00083,Ananya Seth,25,1,Sales,46585,663,2795,860,2118,40149,4034,5323,0,7569,2866,19792,2788,2737,Medium,0.492963710179581,0.069441331041869,0.0681710627911031,0.0,20357,0.14,0.0,0.981,1
EMP00084,Rakesh Narang,41,27,Cyber Security,177938,19484,10676,3347,1807,142624,42066,27854,0,9178,7602,86700,25564,5606,Medium,0.6078920798743549,0.1792405205295041,0.0393061476329369,0.0,55924,0.29,0.0,0.219,1
EMP00085,Riya Chaudhary,50,25,Data Science,167241,16810,10034,3625,1032,135740,0,22630,25644,8758,8634,65666,25583,10103,Medium,0.4837630764697215,0.188470605569471,0.0744290555473699,0.1889199941063798,70074,0.39,0.153,0.395,1
EMP00086,Neha Thomas,32,11,Sales,63555,1511,3813,1528,959,55744,16858,8164,9129,12211,3666,50028,1289,792,Low,0.8974598163030999,0.0231235648679678,0.0142078071182548,0.1637665040183697,5716,0.03,0.144,0.614,0
EMP00087,Vivaan Goel,33,9,Operations,63344,1501,3801,1491,2183,54368,12718,7806,6844,1497,2563,31428,1690,840,Low,0.5780606238964097,0.0310844614479105,0.0154502648616833,0.1258828722778104,22940,0.05,0.108,0.497,0
EMP00088,Aisha Preeti Seth,33,11,Operations,65127,1590,3908,1688,905,57036,15190,8020,8291,4404,2643,38548,219,280,Low,0.6758538466933165,0.0038396802019776,0.0049091801669121,0.1453643312995301,18488,0.01,0.127,1.273,0
EMP00089,Garima Mittal,47,25,Sales,85000,3500,5100,1576,1475,73349,5586,13534,0,3440,5804,28364,3714,1572,Medium,0.3866992051698046,0.0506346371457006,0.021431785027744,0.0,44985,0.13,0.0,0.423,1
EMP00090,Garima Diya Gill,27,6,HR,46856,676,2811,1162,2133,40074,8746,4304,6808,2510,858,23226,8869,1528,Medium,0.5795777811049558,0.2213155662025253,0.0381294604980785,0.1698857114338473,16848,0.38,0.145,0.172,1
EMP00091,Bhavna Mittal,58,23,Sales,77973,2797,4678,1963,1156,67379,20440,10570,0,3772,3870,38652,13368,3480,Medium,0.5736505439380223,0.1984000949850843,0.051648139628074,0.0,28727,0.35,0.0,0.26,1
EMP00092,Aman Naidu,48,20,Product Management,197806,24452,11868,2364,1497,157625,0,22415,34340,6369,4872,67996,21937,36195,Medium,0.4313782712133228,0.1391720856463124,0.2296272799365583,0.2178588421887391,89629,0.32,0.174,1.65,1
EMP00093,Vidhi Rathore,56,35,Sales,85000,3500,5100,1393,1201,73806,0,11176,14551,1669,5079,32475,2907,94,Low,0.4400048776522234,0.0393870417039265,0.0012736091916646,0.1971519930628946,41331,0.09,0.171,0.032,0
EMP00094,Nikita Dev Joshi,36,16,Data Science,137323,10798,8239,3379,1714,113193,25555,14892,15753,7054,4007,67261,13863,16393,Medium,0.5942151899852465,0.1224722376825422,0.1448234431457775,0.1391693832657496,45932,0.21,0.115,1.182,1
EMP00095,Preeti Bhardwaj,25,2,Customer Support,36739,170,2204,909,1599,31857,0,3441,1115,1557,975,7088,14448,2095,Medium,0.222494271274759,0.4535266974291364,0.0657626267382364,0.0350001569513764,24769,2.04,0.03,0.145,1
EMP00096,Priya Divya Sandhu,43,25,IT,144616,12257,8677,2749,962,119971,27768,18788,21079,4911,7054,79600,13900,11209,Medium,0.6634936776387627,0.1158613331555125,0.0934309124705137,0.1757007943586366,40371,0.17,0.146,0.806,1
EMP00097,Garima Trivedi,52,29,Marketing,90000,4000,5400,1994,1892,76714,0,12297,26606,10580,7198,56681,4751,2095,Low,0.7388612248090309,0.0619313293531819,0.027309226477566,0.3468206585499387,20033,0.08,0.296,0.441,0
EMP00098,Kavya Mohanty,36,10,IT,102383,5357,6143,2601,1662,86620,0,12590,22787,5819,4921,46117,10900,16180,Medium,0.5324059108750866,0.1258369891480027,0.1867928884784114,0.2630685753867467,40503,0.24,0.223,1.484,1
EMP00099,Megha George,44,17,IT,129527,9429,7772,2320,1037,108969,11875,15979,0,5382,5907,39143,28348,8784,High,0.35921225302609,0.2601473813653424,0.0806100817663739,0.0,69826,0.72,0.0,0.31,2
EMP00100,Pooja Roy,52,37,IT,150000,13333,9000,2762,1055,123850,0,19830,0,8857,6364,35051,39335,8668,Medium,0.2830117077109406,0.3176019378280177,0.0699878885748889,0.0,88799,1.12,0.0,0.22,1
EMP00101,Rohan Sandhu,44,19,Operations,82847,3285,4971,1913,1033,71645,0,10213,13580,3310,2971,30074,17667,4623,Medium,0.4197641147323609,0.2465908297857491,0.0645264847512038,0.1895456765999023,41571,0.59,0.164,0.262,1
EMP00102,Prateek Chaudhary,28,6,Customer Support,43431,505,2606,943,913,38464,7569,4524,1552,2156,1771,17572,13876,1704,Medium,0.4568427620632279,0.3607529118136439,0.0443011647254575,0.0403494176372712,20892,0.79,0.036,0.123,1
EMP00103,Diya Rawat,41,17,Sales,72637,2264,4358,1973,1209,62833,0,10767,19524,10944,4707,45942,3649,1363,Low,0.7311762927124282,0.0580745786449795,0.0216924227714735,0.3107284388776598,16891,0.08,0.269,0.373,0
EMP00104,Aman Pawar,53,29,Finance,130000,9500,7800,2375,1650,108675,0,11934,25412,6026,2283,45655,35395,5138,Medium,0.4201058201058201,0.3256958822176213,0.0472785829307568,0.2338348286174373,63020,0.78,0.195,0.145,1
EMP00105,Varun Pawar,39,9,IT,103403,5510,6204,2411,1382,87896,0,13247,27464,14897,7768,63376,6103,2289,Low,0.7210339492127059,0.0694343314826613,0.0260421407117502,0.312460180212979,24520,0.1,0.266,0.375,0
EMP00106,Tarun Abhishek Mathew,32,7,Cyber Security,117082,7562,7025,2813,1625,98057,23149,10417,7594,8987,5855,56002,19792,4073,Medium,0.5711167994125865,0.2018417859000377,0.041537065176377,0.0774447515220738,42055,0.35,0.065,0.206,1
EMP00107,Rashmi Hemant Behera,43,21,Operations,91401,4140,5484,1405,1368,79004,6666,11741,3856,3652,2609,28524,26390,4972,Medium,0.3610450103792213,0.3340337198116551,0.0629335223532985,0.0488076553085919,50480,0.93,0.042,0.188,1
EMP00108,Sneha Sabharwal,57,22,Customer Support,60000,1333,3600,1270,2250,51547,9855,6481,0,1820,1798,19954,19173,3010,Medium,0.3871030321842202,0.3719518109686305,0.0583933109589306,0.0,31593,0.96,0.0,0.157,1
EMP00109,Aakash Wadhwa,48,23,IT,140234,11380,8414,2374,1509,116557,31040,21430,8137,6378,5152,72137,17026,6155,Medium,0.6188989078305035,0.1460744528428151,0.0528067812315004,0.0698113369424401,44420,0.24,0.058,0.361,1
EMP00110,Sneha Jindal,36,15,Finance,102830,5424,6170,2250,1505,87481,21751,14514,0,5350,5187,46802,17143,4562,Medium,0.534996170597044,0.1959625518684057,0.0521484665241595,0.0,40679,0.37,0.0,0.266,1
EMP00111,Atharv Nitin Sabharwal,50,20,IT,134471,10228,8068,3838,1864,110473,28210,18838,6852,7594,4930,66424,19475,4171,Medium,0.601269088374535,0.1762874186452798,0.0377558317416925,0.0620242050093688,44049,0.29,0.051,0.214,1
EMP00112,Garima Jain,35,8,Cyber Security,125610,8842,7537,2582,1356,105293,27353,13116,14604,9575,6921,71569,14926,4349,Low,0.6797128014207972,0.1417568119438139,0.0413037903754285,0.1386986789245249,33724,0.21,0.116,0.291,0
EMP00113,Bhavna Chopra,41,24,Sales,79178,2918,4751,1387,1909,68213,17391,10847,0,3219,3152,34609,561,477,Medium,0.5073666309940921,0.0082242387814639,0.0069928019585709,0.0,33604,0.02,0.0,0.849,1
