EmployeeID,EmployeeName,Age,Years_of_Experience,Department,Monthly_Salary,Income_Tax,PF_Contribution,Insurance_Deduction,Other_Deductions,Net_Salary,Rent_Expense,Grocery_Expense,EMI_or_Loan_Payment,Entertainment_Expense,Other_Expenses,Total_Expenditure,Savings_Amount,Investments,Class
EMP00041,Tushar Kulkarni,40,11,Marketing,67924,1792,4075,1654,897,59506,0,8460,0,3886,3700,16046,16319,4285,High
EMP00042,Yash Rathore,37,15,Customer Support,47861,726,2872,1041,1431,41791,0,6622,10537,1114,2989,21262,409,387,Low
EMP00043,Khushi Bedi,52,25,Data Science,170000,17500,10200,2244,1864,138192,0,26690,0,11344,10149,48183,41977,8310,High
EMP00044,Divya Lakhotia,34,9,Marketing,60723,1369,3643,2125,1573,52013,0,6571,13036,2699,3443,25749,2302,438,Low
EMP00045,Mayank Thomas,54,30,Operations,95000,4500,5700,2023,1051,81726,23807,15259,0,5207,5441,49714,11271,4224,Medium
EMP00046,Swati Prateek Sandhu,38,17,Finance,109169,6375,6550,3349,1009,91886,0,11797,17121,4720,2222,35860,30644,5172,Medium
EMP00047,Monika Wadhwa,46,22,Finance,120394,8059,7224,2516,1467,101128,0,16203,25848,5518,4919,52488,24181,4567,Medium
EMP00048,Karan Vivek Shetty,25,3,Cyber Security,107973,6196,6478,2243,1293,91763,8148,10120,0,7531,5207,31006,19339,21504,High
EMP00049,Megha Saini,39,10,Product Management,146165,12566,8770,2469,1277,121083,0,13091,23103,18584,8345,63123,10957,6825,Medium
EMP00050,Arjun Joshi,55,31,HR,70000,2000,4200,1902,1814,60084,12976,6876,0,4924,3832,28608,13522,3508,Medium
EMP00051,Rupal Nair,60,35,IT,150000,13333,9000,3676,2033,121958,0,18926,30800,4827,6642,61195,927,2761,Low
EMP00052,Jyoti Sandhu,27,5,IT,94825,4482,5690,2179,1849,80625,18019,13743,8769,2577,2027,45135,21347,2340,Medium
EMP00053,Pankaj Banerjee,52,29,Operations,95000,4500,5700,1431,2380,80989,4198,14758,0,10112,5599,34667,9515,4818,Medium
EMP00054,Jyoti Bohra,31,11,IT,104456,5668,6267,2640,1935,87946,29676,9597,8420,16654,8071,72418,2187,2217,Low
EMP00055,Vivek Tushar D'Souza,53,36,HR,70000,2000,4200,1894,2231,59675,0,4888,12884,3294,1684,22750,20886,2418,Medium
EMP00056,Tanvi Banerjee,46,23,Marketing,89418,3942,5365,1606,1955,76550,0,12662,0,2528,3466,18656,121,938,Medium
EMP00057,Akash Rajput,51,33,IT,150000,13333,9000,3010,1898,122759,31739,18622,0,7629,8664,66654,25069,5114,Medium
EMP00058,Rashmi Kapoor,33,7,Marketing,64636,1565,3878,1675,2460,55058,14559,9872,0,3083,2378,29892,10477,2648,Medium
EMP00059,Tanvi Kapoor,39,17,IT,119377,7907,7163,2955,1328,100024,0,15834,34230,7354,4202,61620,18678,4087,Medium
EMP00060,Priya Reddy,54,26,Customer Support,60000,1333,3600,1286,1026,52755,12332,8210,2661,1598,3387,28188,1939,732,Medium
EMP00061,Bhavna Rawat,26,4,IT,94392,4439,5664,2187,1822,80280,0,12839,7458,5504,3286,29087,22209,6213,Medium
EMP00062,Yuvraj D'Souza,55,24,Sales,80730,3073,4844,2173,1878,68762,17629,10573,0,4759,3680,36641,14432,4204,Medium
EMP00063,Ankit Shukla,30,6,Finance,83812,3381,5029,1938,1687,71777,17985,11104,7459,5060,3927,45535,8807,7651,Medium
EMP00064,Nikita Bhardwaj,50,22,Marketing,85016,3502,5101,2036,1284,73093,20868,12761,2499,4354,4249,44731,12111,3788,Medium
EMP00065,Pankaj Agarwal,27,3,Operations,54889,1078,3293,820,1605,48093,12044,5309,7234,4724,3257,32568,7201,1639,Low
EMP00066,Siddharth Roy,23,2,Data Science,97512,4751,5851,1313,1630,83967,0,8738,6319,7815,2711,25583,16190,18919,High
EMP00067,Aditi Bedi,31,9,HR,52818,974,3169,1042,1649,45984,0,8185,2460,3486,3505,17636,11000,2630,Medium
EMP00068,Ashish Megha Chopra,28,6,Marketing,61493,1408,3690,1379,2242,52774,14291,8450,18373,1184,4307,46605,318,289,Low
EMP00069,Reema Mundra,56,37,Data Science,170000,17500,10200,3973,1663,136664,39222,22280,0,9299,7872,78673,28337,5988,Medium
EMP00070,Vidhi Shukla,27,5,Sales,49707,819,2982,867,1716,43323,9717,6386,0,2504,1844,20451,6768,8991,High
EMP00071,Lakshay Gill,25,0,Marketing,50000,833,3000,1187,1585,43395,0,4026,6097,2972,2047,15142,16229,2721,Medium
EMP00072,Gaurav Varun Nair,47,20,Sales,77163,2716,4630,2135,1483,66199,0,11354,0,3790,2983,18127,17359,5137,Medium
EMP00073,Sumit Bagri,50,16,Operations,76813,2681,4609,1497,1531,66495,0,11289,14241,3813,4485,33828,11562,4335,Medium
EMP00074,Rahul Jain,57,26,Sales,85000,3500,5100,1690,1917,72793,0,8834,17366,5715,5331,37246,2274,303,Low
EMP00075,Krishna Iyer,30,5,Sales,50288,848,3017,865,1901,43657,2783,6327,2674,1537,912,14233,18484,2288,Medium
EMP00076,Diya Singh,60,32,Operations,95000,4500,5700,2171,1765,80864,0,13291,18538,4048,4930,40807,3223,1262,Low
EMP00077,Krishna Pandey,41,22,IT,133458,10025,8007,2896,1623,110907,0,14611,29673,2492,2929,49705,32101,5674,Medium
EMP00078,Gaurav Pandey,46,28,Sales,85000,3500,5100,1520,1798,73082,4115,11375,7606,4930,3028,31054,16484,5358,Medium
EMP00079,Akash Saurabh Pawar,52,31,Sales,85000,3500,5100,1574,932,73894,0,10826,16815,12107,5895,45643,3329,4922,Low
EMP00080,Reema Yadav,43,23,Customer Support,59149,1291,3549,720,922,52667,0,8605,17819,2916,2536,31876,9199,2716,Medium
EMP00081,Aisha Mukherjee,59,32,Sales,85000,3500,5100,2035,1474,72891,0,13051,13451,2644,6076,35222,2949,1347,Low
EMP00082,Shruti Bhatia,59,37,IT,150000,13333,9000,3882,1136,122649,0,16575,26328,4249,4647,51799,42108,6750,Medium
EMP00083,Ananya Seth,25,1,Sales,46585,663,2795,860,2118,40149,4034,5323,0,7569,2866,19792,2788,2737,Medium
EMP00084,Rakesh Narang,41,27,Cyber Security,177938,19484,10676,3347,1807,142624,42066,27854,0,9178,7602,86700,25564,5606,Medium
EMP00085,Riya Chaudhary,50,25,Data Science,167241,16810,10034,3625,1032,135740,0,22630,25644,8758,8634,65666,25583,10103,Medium
EMP00086,Neha Thomas,32,11,Sales,63555,1511,3813,1528,959,55744,16858,8164,9129,12211,3666,50028,1289,792,Low
EMP00087,Vivaan Goel,33,9,Operations,63344,1501,3801,1491,2183,54368,12718,7806,6844,1497,2563,31428,1690,840,Low
EMP00088,Aisha Preeti Seth,33,11,Operations,65127,1590,3908,1688,905,57036,15190,8020,8291,4404,2643,38548,219,280,Low
EMP00089,Garima Mittal,47,25,Sales,85000,3500,5100,1576,1475,73349,5586,13534,0,3440,5804,28364,3714,1572,Medium
EMP00090,Garima Diya Gill,27,6,HR,46856,676,2811,1162,2133,40074,8746,4304,6808,2510,858,23226,8869,1528,Medium
EMP00091,Bhavna Mittal,58,23,Sales,77973,2797,4678,1963,1156,67379,20440,10570,0,3772,3870,38652,13368,3480,Medium
EMP00092,Aman Naidu,48,20,Product Management,197806,24452,11868,2364,1497,157625,0,22415,34340,6369,4872,67996,21937,36195,Medium
EMP00093,Vidhi Rathore,56,35,Sales,85000,3500,5100,1393,1201,73806,0,11176,14551,1669,5079,32475,2907,94,Low
EMP00094,Nikita Dev Joshi,36,16,Data Science,137323,10798,8239,3379,1714,113193,25555,14892,15753,7054,4007,67261,13863,16393,Medium
EMP00095,Preeti Bhardwaj,25,2,Customer Support,36739,170,2204,909,1599,31857,0,3441,1115,1557,975,7088,14448,2095,Medium
EMP00096,Priya Divya Sandhu,43,25,IT,144616,12257,8677,2749,962,119971,27768,18788,21079,4911,7054,79600,13900,11209,Medium
EMP00097,Garima Trivedi,52,29,Marketing,90000,4000,5400,1994,1892,76714,0,12297,26606,10580,7198,56681,4751,2095,Low
EMP00098,Kavya Mohanty,36,10,IT,102383,5357,6143,2601,1662,86620,0,12590,22787,5819,4921,46117,10900,16180,Medium
EMP00099,Megha George,44,17,IT,129527,9429,7772,2320,1037,108969,11875,15979,0,5382,5907,39143,28348,8784,High
EMP00100,Pooja Roy,52,37,IT,150000,13333,9000,2762,1055,123850,0,19830,0,8857,6364,35051,39335,8668,Medium
EMP00101,Rohan Sandhu,44,19,Operations,82847,3285,4971,1913,1033,71645,0,10213,13580,3310,2971,30074,17667,4623,Medium
EMP00102,Prateek Chaudhary,28,6,Customer Support,43431,505,2606,943,913,38464,7569,4524,1552,2156,1771,17572,13876,1704,Medium
EMP00103,Diya Rawat,41,17,Sales,72637,2264,4358,1973,1209,62833,0,10767,19524,10944,4707,45942,3649,1363,Low
EMP00104,Aman Pawar,53,29,Finance,130000,9500,7800,2375,1650,108675,0,11934,25412,6026,2283,45655,35395,5138,Medium
EMP00105,Varun Pawar,39,9,IT,103403,5510,6204,2411,1382,87896,0,13247,27464,14897,7768,63376,6103,2289,Low
EMP00106,Tarun Abhishek Mathew,32,7,Cyber Security,117082,7562,7025,2813,1625,98057,23149,10417,7594,8987,5855,56002,19792,4073,Medium
EMP00107,Rashmi Hemant Behera,43,21,Operations,91401,4140,5484,1405,1368,79004,6666,11741,3856,3652,2609,28524,26390,4972,Medium
EMP00108,Sneha Sabharwal,57,22,Customer Support,60000,1333,3600,1270,2250,51547,9855,6481,0,1820,1798,19954,19173,3010,Medium
EMP00109,Aakash Wadhwa,48,23,IT,140234,11380,8414,2374,1509,116557,31040,21430,8137,6378,5152,72137,17026,6155,Medium
EMP00110,Sneha Jindal,36,15,Finance,102830,5424,6170,2250,1505,87481,21751,14514,0,5350,5187,46802,17143,4562,Medium
EMP00111,Atharv Nitin Sabharwal,50,20,IT,134471,10228,8068,3838,1864,110473,28210,18838,6852,7594,4930,66424,19475,4171,Medium
EMP00112,Garima Jain,35,8,Cyber Security,125610,8842,7537,2582,1356,105293,27353,13116,14604,9575,6921,71569,14926,4349,Low
EMP00113,Bhavna Chopra,41,24,Sales,79178,2918,4751,1387,1909,68213,17391,10847,0,3219,3152,34609,561,477,Medium
EMP00114,Shreya Chopra,25,2,Customer Support,38171,242,2290,958,2024,32657,9312,3299,0,4997,2313,19921,2301,1219,Medium
EMP00115,Nikhil Nikita Pradhan,51,37,Sales,85000,3500,5100,1755,1945,72700,0,13179,25437,10538,5731,54885,3964,1993,Low
EMP00116,Simran Narang,37,11,Operations,73454,2345,4407,1638,1178,63886,0,10537,22132,7935,5331,45935,4360,2058,Low
EMP00117,Charu Jadhav,28,3,Customer Support,42244,446,2535,764,1537,36962,0,4571,10108,7119,2963,24761,1358,1946,Low
EMP00118,Shreya Seth,39,13,HR,55414,1104,3325,1074,2064,47847,0,9052,11239,3062,2952,26305,7962,3195,Medium
EMP00119,Atharv Kulkarni,43,25,Marketing,90000,4000,5400,1327,2058,77215,24846,14877,5692,3929,3712,53056,871,96,Low
EMP00120,Divya Wadhwa,25,3,Sales,47195,693,2832,1060,1085,41525,12073,5499,0,8993,3308,29873,1396,1098,Low
EMP00121,Akash Reddy,46,16,Marketing,78264,2826,4696,1591,1356,67795,15690,9393,0,3010,4088,32181,1576,370,Medium
EMP00122,Pankaj Shinde,29,6,Marketing,57300,1198,3438,1030,1903,49731,12023,9411,0,1416,3479,26329,441,450,Medium
EMP00123,Nikhil Solanki,25,1,Sales,48365,752,2902,1155,1845,41711,3152,5383,0,8725,3840,21100,2113,1975,Medium
EMP00124,Shruti Suri,25,3,Sales,52128,940,3128,905,2017,45138,10504,5986,0,4150,2670,23310,10372,2499,Medium
EMP00125,Namrata Rahul Solanki,26,4,Marketing,57162,1191,3430,932,1574,50035,10307,6343,0,2728,2507,21885,13326,2608,Medium
EMP00126,Arjun Khanna,39,9,Operations,62214,1444,3733,1469,1416,54152,11029,7331,0,2718,2335,23413,16079,3285,High
EMP00127,Vivaan Aakash Rajput,22,0,Operations,50000,833,3000,791,2226,43150,12125,5571,3077,7165,2641,30579,2527,1057,Low
EMP00128,Sneha Daga,24,3,IT,83551,3355,5013,1766,1592,71825,0,8724,0,12471,6689,27884,5682,7271,Medium
EMP00129,Dhruv Agarwal,37,10,IT,106067,5910,6364,3996,777,89020,0,12686,0,5358,5892,23936,32274,5389,Medium
EMP00130,Shivam Shetty,36,16,HR,54525,1060,3272,958,1022,48213,0,4093,0,3473,1419,8985,26141,2390,High
EMP00131,Manish Chopra,50,19,Data Science,146518,12637,8791,2416,1868,120806,31467,15094,0,10532,8179,65272,21971,7400,Medium
EMP00132,Gaurav Bedi,42,17,IT,116423,7463,6985,2732,1171,98072,5554,14271,0,5314,4145,29284,32134,6313,Medium
EMP00133,Shruti Simran Mundra,34,11,Finance,89542,3954,5373,1222,1642,77351,0,8615,0,6695,5562,20872,23437,7350,High
EMP00134,Varun Somani,49,17,Finance,108801,6320,6528,3457,1646,90850,0,12947,26278,6162,3957,49344,20716,4249,Medium
EMP00135,Rohit Thomas,23,3,Operations,56948,1181,3417,957,1515,49878,0,7059,16093,9277,4881,37310,3141,1861,Low
EMP00136,Jyoti Joshi,39,16,Operations,84045,3404,5043,2066,1932,71600,5174,11498,0,4595,4144,25411,18603,5704,High
EMP00137,Avantika Mathew,31,8,Operations,59621,1314,3577,746,1195,52789,0,8221,2052,2380,2486,15139,19273,3028,Medium
EMP00138,Ishaan Sandhu,29,6,Operations,63586,1513,3815,1303,1586,55369,0,8112,5394,4633,3970,22109,3089,1187,Medium
EMP00139,Mohit Bhardwaj,36,18,Sales,73234,2323,4394,1381,2146,62990,18395,10097,0,6719,4718,39929,5546,1998,Medium
EMP00140,Rahul Sabharwal,42,17,Sales,73605,2360,4416,1657,1169,64003,11802,5629,0,5844,3335,26610,10244,12916,High
EMP00141,Riya Pradhan,56,34,IT,150000,13333,9000,3124,1257,123286,0,20954,37159,5761,9446,73320,1689,2378,Low
EMP00142,Tushar Ashish Pandey,49,25,IT,136860,10705,8212,3038,2345,112560,26046,17780,10781,6435,5002,66044,20900,5380,Medium
EMP00143,Abhishek Bohra,34,6,IT,88974,3897,5338,1515,2168,76056,16197,11925,0,4095,2908,35125,11041,13308,Medium
EMP00144,Avantika Chatterjee,28,2,Sales,48299,748,2898,983,1899,41771,14202,6610,7113,6531,3328,37784,937,549,Low
EMP00145,Priya Dubey,31,6,Customer Support,38370,252,2302,1113,849,33854,9589,6453,2557,2882,1564,23045,4412,1214,Medium
EMP00146,Nandini Swain,51,22,Operations,89275,3928,5356,1353,2158,76480,0,11154,20730,4671,4052,40607,14617,4221,Medium
EMP00147,Rishabh Muskan Parmar,60,37,IT,150000,13333,9000,2279,1457,123931,24187,18326,8941,5525,4897,61876,43097,3276,Medium
EMP00148,Muskan Kartik Mundra,42,19,Marketing,80260,3026,4816,1958,1877,68583,0,10577,22270,11242,4036,48125,2637,3266,Low
EMP00149,Vihaan Gill,25,1,IT,81437,3144,4886,1717,928,70762,0,9195,0,6980,5033,21208,19267,7060,High
EMP00150,Nikita Chaudhary,25,1,Operations,55114,1089,3307,805,1997,47916,0,5896,6714,3468,2056,18134,14020,2846,Medium
EMP00151,Pankaj Shetty,39,14,Operations,77497,2750,4650,1733,2422,65942,21577,11690,0,8730,4533,46530,2127,3437,Low
EMP00152,Rashmi Goel,38,18,Marketing,79707,2971,4782,2121,1489,68344,0,11300,16813,3837,4602,36552,13855,3031,Medium
EMP00153,Charu Pillai,36,18,Sales,76223,2622,4573,1507,2262,65259,16676,8106,7924,5594,2651,40951,9803,3255,Medium
EMP00154,Dev Menon,43,20,Cyber Security,160728,15479,9644,3395,1900,130310,0,16785,42380,5613,4581,69359,15931,23135,Medium
EMP00155,Sonali Shukla,51,26,Finance,129211,9382,7753,2562,798,108716,0,16152,33980,2636,6330,59098,2131,1019,Low
EMP00156,Vivaan Seth,56,28,Marketing,90000,4000,5400,1892,1192,77516,0,12382,24809,4463,3689,45343,14773,3648,Medium
EMP00157,Ayush Nagpal,43,21,Operations,86257,3626,5175,1368,1330,74758,20909,11485,0,3092,3247,38733,3158,420,Medium
EMP00158,Aditya Patel,25,0,Sales,45000,583,2700,763,1980,38974,8916,3657,0,2414,2391,17378,904,930,Medium
EMP00159,Charu Reddy,54,25,Cyber Security,176062,19016,10564,3902,1703,140877,0,20878,0,8435,5643,34956,47743,14003,High
EMP00160,Ishaan Bhatia,31,6,Operations,65539,1610,3932,1436,1524,57037,12596,6839,0,3736,2268,25439,2396,67,Medium
EMP00161,Ashish Bedi,30,7,Sales,57955,1231,3477,1149,1785,50313,0,6094,16332,10663,4724,37813,2744,1086,Low
EMP00162,Simran Thomas,32,6,HR,46526,660,2792,1012,1036,41026,0,6164,13575,1470,969,22178,11893,1052,Medium
EMP00163,Preeti Nagpal,55,29,Product Management,220000,31000,13200,2395,1934,171471,0,29723,0,19109,15698,64530,13211,17329,Medium
EMP00164,Ashish Deepak Somani,26,5,Finance,81510,3151,4891,1612,1299,70557,15634,9430,0,2993,1745,29802,23738,3501,Medium
EMP00165,Nandini Bohra,22,0,Operations,50000,833,3000,1035,1874,43258,0,5247,0,4038,2560,11845,14368,2751,High
EMP00166,Trisha Bajaj,43,20,Operations,82785,3278,4967,1246,2151,71143,21157,9669,0,8615,5131,44572,5772,3571,Medium
EMP00167,Swati Jindal,28,5,IT,95707,4571,5742,1668,1470,82256,6605,10259,0,8599,5595,31058,23232,4681,High
EMP00168,Kunal More,60,32,Sales,85000,3500,5100,1480,1580,73340,0,9911,21947,8071,4680,44609,14088,3123,Low
EMP00169,Dev Tayal,34,8,Sales,61615,1414,3697,1865,2221,52418,13994,9007,0,3933,3322,30256,10728,2326,Medium
EMP00170,Yash Patel,22,0,IT,80000,3000,4800,1493,1376,69331,14711,8200,5089,6715,4075,38790,9509,10774,Medium
EMP00171,Trisha Wadhwa,37,16,Operations,80221,3022,4813,1596,2103,68687,21303,11633,0,2877,5043,40856,1023,789,Low
EMP00172,Vaishnavi Kapoor,34,9,HR,50352,851,3021,761,1690,44029,10373,5586,0,3822,3195,22976,9253,2683,Medium
EMP00173,Kavya Garima Bedi,41,22,Operations,86769,3677,5206,2179,1099,74608,0,9803,0,2919,2190,14912,33353,6455,High
EMP00174,Pankaj Naidu,57,22,IT,139009,11135,8341,2699,1767,115067,0,18495,30823,8004,6068,63390,22030,5890,Low
EMP00175,Aisha Mehta,40,18,Data Science,140617,11457,8437,3292,1067,116364,0,14228,34847,7940,6103,63118,15813,22009,Medium
EMP00176,Ishaan Patel,51,32,IT,150000,13333,9000,3377,1665,122625,0,18377,22195,8459,4949,53980,31707,5709,Medium
EMP00177,Akash Bajaj,26,4,Customer Support,35933,130,2156,844,1996,30807,5836,4207,0,1128,1514,12685,9583,1859,High
EMP00178,Ananya Aarav Yadav,45,15,Sales,69730,1973,4184,1750,1547,60276,19505,9887,5931,8483,3982,47788,1464,1842,Low
EMP00179,Kavya Menon,58,23,Operations,90001,4000,5400,1268,1182,78151,0,12024,22298,12443,5260,52025,4379,3515,Low
EMP00180,Yuvraj Gaurav Tiwari,58,33,Operations,95000,4500,5700,1957,1717,81126,0,10341,18816,8425,3950,41532,17461,5183,Medium
EMP00181,Namrata Ishaan Lodha,30,6,Data Science,113389,7008,6803,3493,2097,93988,23987,17088,14805,5790,4434,66104,12989,3326,Low
EMP00182,Tanvi Verma,54,24,Finance,129103,9365,7746,3601,1234,107157,0,19761,28096,6719,5149,59725,20071,4276,Medium
EMP00183,Rakesh Das,45,18,IT,124113,8617,7447,3131,1155,103763,11214,18069,13949,11870,8977,64079,6143,5545,Low
EMP00184,Rohit Kohli,46,18,Sales,75617,2562,4537,1206,1827,65485,14498,7065,0,3304,3037,27904,3048,1244,Medium
EMP00185,Simran Pandey,52,37,HR,70000,2000,4200,1244,1287,61269,13095,10073,7386,4503,3367,38424,11006,2638,Medium
EMP00186,Neha Thomas,35,12,Sales,68243,1824,4095,1346,1676,59302,14474,8848,1861,1474,1261,27918,18973,2990,Medium
EMP00187,Amit Dubey,48,28,IT,149040,13141,8942,3997,2303,120657,0,15848,40953,24023,10071,90895,4854,4670,Low
EMP00188,Trisha Ahuja,52,34,Finance,130000,9500,7800,2400,1406,108894,0,16154,23100,4300,4551,48105,37422,3780,Medium
EMP00189,Mansi Arora,22,3,Sales,48331,750,2900,1033,1563,42085,0,5114,10532,7746,3187,26579,2412,2036,Low
EMP00190,Jyoti Chopra,44,27,Marketing,90000,4000,5400,1657,1287,77656,20538,13199,6075,3935,3352,47099,11361,4657,Medium
EMP00191,Deepak Ayaan Sandhu,49,16,IT,122976,8446,7379,3457,1787,101907,0,17958,21838,7559,6952,54307,18702,4432,Medium
EMP00192,Ayaan Gill,36,17,IT,114668,7200,6880,2377,1668,96543,0,14660,0,12552,7763,34975,11320,7954,Medium
EMP00193,Muskan Saxena,44,28,Cyber Security,179865,19966,10792,2734,1933,144440,52903,21757,0,30692,13060,118412,5313,4073,Low
EMP00194,Anjali Swain,43,27,HR,70000,2000,4200,1269,1377,61154,0,9117,13994,1969,2615,27695,19018,2967,Medium
EMP00195,Vivek Pradhan,33,12,Finance,103306,5496,6198,2589,1437,87586,19358,13571,7206,6393,4965,51493,16224,4200,Medium
EMP00196,Sumit Mathew,24,3,Finance,81224,3122,4873,2089,1365,69775,6305,9368,0,4240,3705,23618,19634,5023,Medium
EMP00197,Rupal Das,33,12,Product Management,162161,15766,9730,3580,2090,130995,0,11115,23036,9860,4361,48372,21779,29437,High
EMP00198,Khushi Malhotra,47,19,HR,61786,1423,3707,1938,1995,52723,0,8403,0,1456,3453,13312,3924,1507,Medium
EMP00199,Vikram Saini,55,32,Operations,95000,4500,5700,1301,1158,82341,25139,11384,11178,12474,5584,65759,2682,1878,Low
EMP00200,Lokesh Bedi,58,27,Product Management,215385,29616,12923,2360,1890,168596,0,16733,46731,17086,5752,86302,18459,28448,Medium
EMP00201,Tarun Sahu,42,25,Cyber Security,171641,17910,10298,3799,2292,137342,13864,18199,0,7581,4026,43670,21080,30532,High
